task_id,project_id,sprint_id,task_title,task_type,priority_moscow,assignee_role,experience_years,team_size,sprint_length_days,story_points,estimated_hours,actual_hours,dependencies_count,blockers_count,requirement_changes,communication_volume,sentiment_score,ai_suggestion_used,ai_acceptance_rate,override_requested,status,task_success,success_probability
41,83,38,Update deployment script,Refactor,Should,Designer,5.5,9,14,8,25.7,24.2,0,2,0,8,-0.1,1,0.73,0,Done,1,0.728
42,380,35,Add documentation,Refactor,Should,Developer,2.6,11,14,8,23.3,37.8,0,2,0,19,-0.06,1,0.77,0,Blocked,0,0.577
43,351,5,Investigate caching layer,Feature,Could,Developer,0.0,5,14,1,1.0,0.9,0,0,1,22,-0.31,0,0.0,0,Done,1,0.791
44,178,37,Implement error handling,Feature,Must,Developer,4.5,10,14,1,1.4,1.3,1,0,0,1,-0.64,1,0.39,0,Done,1,0.808
45,34,38,Refactor caching layer,Feature,Must,Developer,5.6,6,10,5,14.1,8.1,0,0,0,10,-0.16,0,0.13,0,Done,1,0.868
46,486,31,Update deployment script,Documentation,Could,QA,0.0,8,14,1,5.7,5.9,3,0,1,0,-0.49,0,0.06,0,Done,1,0.699
47,223,12,Investigate error handling,Feature,Must,Developer,2.1,12,7,5,15.1,27.6,4,1,0,22,0.19,1,0.46,1,Done,1,0.424
48,447,27,Add test suite,Documentation,Should,Developer,0.9,5,14,3,6.2,3.8,3,0,0,28,0.38,0,0.54,0,Done,1,0.818
49,339,35,Fix deployment script,Feature,Could,Developer,0.2,8,14,3,11.0,17.8,2,1,3,17,0.85,0,0.67,0,To Do,0,0.534
50,390,33,Optimize login flow,Spike,Could,Developer,4.7,3,14,8,25.4,32.2,1,1,0,9,1.0,1,0.76,0,Done,1,0.734
51,380,18,Optimize deployment script,Bug,Must,DevOps,2.0,11,21,5,13.1,12.4,0,1,1,16,0.19,1,1.0,0,Done,1,0.778
52,98,29,Fix database query,Chore,Could,Developer,6.6,12,14,3,6.8,6.5,1,2,0,5,0.9,0,0.39,0,Blocked,0,0.715
53,182,16,Improve error handling,Refactor,Could,Developer,4.7,6,14,8,23.3,29.4,2,0,0,15,-0.06,1,0.87,0,Done,1,0.762
54,234,11,Fix UI component,Chore,Could,Developer,1.5,7,14,3,7.6,10.9,2,2,1,27,0.08,0,0.32,0,Done,1,0.508
55,249,27,Optimize deployment script,Refactor,Could,Developer,1.8,11,14,3,11.1,9.6,1,0,0,18,-0.05,1,0.57,0,Done,1,0.82
56,22,19,Create permission check,Feature,Must,Developer,0.0,10,14,13,39.2,57.2,3,1,0,10,0.05,0,0.58,0,Done,1,0.589
57,274,9,Remove database query,Spike,Could,Developer,5.8,5,14,1,1.0,0.8,0,0,0,34,-1.0,1,0.65,0,Done,1,0.84
58,78,27,Improve database query,Refactor,Must,QA,4.1,7,10,3,9.2,9.7,1,0,0,29,0.7,0,0.39,0,To Do,0,0.802
59,372,13,Refactor API endpoint,Feature,Must,DevOps,1.2,5,14,8,24.2,23.7,0,0,0,22,-0.41,0,0.53,0,Done,1,0.814
60,342,24,Implement error handling,Feature,Must,Developer,3.4,8,14,8,21.6,23.6,1,0,1,0,-0.23,1,0.65,0,Done,1,0.777
61,462,15,Improve deployment script,Bug,Should,Developer,0.9,10,14,1,1.9,2.4,1,2,0,18,0.48,0,0.36,0,Done,1,0.611
62,373,36,Create database query,Spike,Must,Developer,2.1,4,14,8,24.8,24.9,0,0,0,16,0.57,0,0.17,0,Done,1,0.819
63,184,35,Implement login flow,Chore,Must,Developer,2.6,7,7,3,12.2,12.3,0,0,1,25,-1.0,1,0.78,0,Done,1,0.792
64,484,19,Update caching layer,Feature,Could,Designer,4.6,3,10,5,16.8,18.9,1,1,0,21,-0.15,0,0.48,0,Done,1,0.722
65,206,29,Optimize test suite,Refactor,Should,QA,3.9,5,10,1,1.1,0.8,0,0,0,21,-1.0,1,0.85,0,Done,1,0.852
66,163,8,Remove documentation,Feature,Should,Designer,2.7,7,14,1,6.6,14.0,2,3,1,25,0.16,0,0.39,0,Blocked,0,0.295
67,453,40,Update caching layer,Feature,Could,Developer,3.5,12,14,2,4.8,5.9,1,0,2,13,0.57,0,0.17,0,Done,1,0.735
68,186,9,Update login flow,Chore,Could,Designer,1.5,4,14,5,16.4,15.1,1,1,0,8,-0.69,0,0.01,0,Done,1,0.72
69,39,35,Implement database query,Feature,Must,DevOps,2.2,3,10,13,42.0,61.0,2,1,1,30,0.78,0,0.06,1,In Progress,0,0.537
70,235,34,Update database query,Feature,Must,PM,1.1,11,14,8,25.2,30.5,1,0,1,10,-0.33,0,0.13,0,Blocked,0,0.727
71,398,8,Optimize test suite,Feature,Could,Developer,2.0,7,14,2,4.7,5.3,1,0,1,18,0.55,1,0.91,0,Done,1,0.787
72,95,1,Investigate API endpoint,Feature,Should,PM,4.7,5,10,2,6.8,7.3,2,0,1,8,-0.6,0,0.19,0,Done,1,0.738
73,232,30,Create login flow,Feature,Must,QA,4.2,10,14,8,24.8,38.6,4,0,0,15,-0.39,1,0.55,0,Done,1,0.636
74,65,35,Fix API endpoint,Feature,Must,QA,1.8,8,14,5,12.3,12.9,1,0,0,18,-0.09,0,0.2,0,In Progress,0,0.783
75,344,29,Optimize test suite,Bug,Won't,Developer,1.8,10,10,5,14.2,21.7,2,2,1,28,-0.54,0,0.14,0,Done,1,0.459
76,238,3,Investigate deployment script,Spike,Should,Developer,4.8,9,14,1,4.8,4.1,2,0,0,33,0.06,1,0.82,0,Done,1,0.816
77,166,26,Create test suite,Feature,Could,PM,3.2,11,14,1,1.9,1.8,0,1,0,19,-0.67,0,0.21,0,In Progress,0,0.754
78,114,16,Investigate documentation,Spike,Should,DevOps,3.8,12,10,5,13.1,19.9,2,1,1,32,-0.72,1,0.81,0,Done,1,0.58
79,283,37,Remove permission check,Refactor,Should,Designer,3.7,3,14,8,19.2,21.5,2,1,0,12,0.19,1,0.61,0,To Do,0,0.71
80,335,33,Update database query,Feature,Could,Developer,1.6,7,14,5,10.9,9.8,2,0,0,23,0.26,1,0.73,1,Done,1,0.769
81,471,32,Improve database query,Feature,Must,Developer,3.5,5,10,3,14.4,23.2,2,0,1,14,-0.16,0,0.55,0,Done,1,0.653
82,219,17,Add API endpoint,Feature,Could,Developer,2.5,12,14,8,21.7,16.5,0,0,0,25,1.0,1,0.62,1,Done,1,0.838
83,81,13,Fix caching layer,Chore,Should,Developer,4.0,3,14,1,1.3,0.9,0,0,1,20,0.02,1,0.66,0,Done,1,0.855
84,417,33,Fix deployment script,Refactor,Could,Developer,5.1,7,7,1,5.8,9.8,3,3,1,6,-0.28,0,0.3,0,Blocked,0,0.345
85,315,5,Investigate test suite,Feature,Should,Developer,2.5,7,14,2,3.5,4.4,1,1,0,38,-0.28,1,0.73,0,Done,1,0.681
86,351,5,Improve login flow,Feature,Must,Developer,5.3,7,7,1,1.8,2.4,0,1,1,0,-0.38,0,0.31,1,Done,1,0.626
87,49,3,Add error handling,Feature,Should,Developer,3.7,6,10,3,11.3,11.1,4,0,0,23,0.81,0,0.28,1,Done,1,0.709
88,157,21,Implement deployment script,Refactor,Could,Developer,2.7,12,10,3,9.2,17.8,0,6,0,0,0.49,0,0.07,0,Blocked,1,0.188
89,384,4,Improve deployment script,Feature,Could,Developer,2.4,3,14,1,1.0,1.1,2,0,0,12,0.69,0,0.04,0,Done,1,0.765
90,417,24,Implement UI component,Bug,Should,Developer,3.6,5,14,1,1.5,2.0,1,2,2,22,0.51,1,0.61,1,Done,1,0.521
91,218,7,Implement database query,Refactor,Should,Developer,2.8,10,14,1,5.4,6.2,2,0,1,0,-0.4,1,0.79,0,Done,1,0.745
92,403,36,Improve UI component,Refactor,Must,Developer,0.0,7,10,3,8.2,6.1,0,0,0,5,0.48,0,0.2,1,Done,1,0.809
93,421,18,Update UI component,Feature,Must,Developer,1.9,12,14,5,15.0,21.6,0,2,1,23,0.56,1,0.74,0,Done,1,0.602
94,194,4,Fix caching layer,Bug,Could,Designer,2.5,11,14,1,2.9,2.9,1,0,0,13,0.27,0,0.14,0,Done,1,0.797
95,450,28,Fix documentation,Bug,Should,Developer,3.6,7,10,5,18.0,15.9,0,1,0,23,0.92,1,0.39,0,Done,1,0.796
96,145,14,Optimize error handling,Chore,Should,Developer,4.3,5,21,2,3.9,1.8,0,0,0,3,0.18,1,0.85,0,Done,1,0.898
97,120,11,Optimize database query,Bug,Should,DevOps,4.4,10,14,5,11.0,13.9,1,1,0,5,0.96,0,0.23,0,Done,1,0.714
98,342,27,Fix deployment script,Bug,Must,QA,5.4,7,14,2,8.1,7.9,1,2,0,19,-0.06,1,1.0,0,Done,1,0.708
99,319,39,Improve documentation,Feature,Should,QA,2.3,6,7,1,1.0,1.6,2,2,0,20,-0.36,1,0.6,1,In Progress,0,0.442
100,70,40,Remove deployment script,Refactor,Could,DevOps,4.0,11,14,5,11.5,11.0,1,1,0,21,-0.57,0,0.31,1,Done,1,0.694
101,417,18,Add error handling,Refactor,Should,PM,0.0,6,7,3,11.4,20.6,2,1,1,26,0.2,0,0.45,0,Done,1,0.504
102,100,34,Optimize permission check,Refactor,Should,Developer,1.5,3,10,3,7.9,8.1,1,0,1,12,-0.19,1,0.5,0,To Do,0,0.772
103,403,9,Implement database query,Refactor,Must,PM,5.0,8,21,3,9.2,14.3,1,3,0,17,-0.47,1,0.91,0,Blocked,1,0.496
104,4,34,Refactor test suite,Spike,Must,Designer,4.2,8,14,2,1.0,1.4,2,1,1,11,1.0,1,0.72,0,Done,1,0.659
105,399,38,Create test suite,Spike,Must,Developer,0.0,7,14,3,10.5,15.7,1,0,0,5,0.11,0,0.04,1,Done,1,0.647
106,394,21,Fix API endpoint,Feature,Must,Developer,4.5,4,14,5,12.4,25.3,2,2,1,5,0.54,0,0.02,0,Done,1,0.393
107,391,21,Update deployment script,Feature,Should,QA,8.8,9,10,1,5.6,8.7,2,2,0,17,-0.5,1,0.49,0,Blocked,0,0.543
108,333,23,Update permission check,Spike,Won't,Designer,3.8,9,10,13,38.9,61.0,0,0,2,21,-0.23,1,0.89,1,Done,1,0.658
109,236,3,Optimize documentation,Refactor,Must,Developer,0.5,5,7,1,4.9,6.1,1,1,2,0,-0.22,0,0.41,0,Done,1,0.625
110,353,35,Investigate database query,Documentation,Could,Developer,2.9,7,14,8,25.0,15.8,0,0,0,1,0.04,1,1.0,1,Done,1,0.851
111,139,30,Investigate test suite,Bug,Must,Developer,1.9,3,10,13,38.6,34.0,2,1,0,22,-0.24,0,0.27,1,Done,1,0.673
112,391,35,Investigate login flow,Documentation,Should,QA,7.1,11,14,13,37.4,30.3,2,1,0,24,-0.32,1,0.98,0,In Progress,0,0.782
113,278,5,Create test suite,Feature,Should,Developer,4.2,9,10,8,22.1,24.1,2,0,0,0,0.44,0,0.3,1,Done,1,0.734
114,230,33,Refactor database query,Bug,Must,Developer,6.6,11,14,5,17.8,10.9,0,1,0,11,0.21,0,0.06,0,Blocked,0,0.828
115,253,15,Add test suite,Bug,Must,Designer,2.9,8,14,2,1.6,0.8,0,0,0,15,0.17,1,0.83,0,Done,1,0.887
116,285,33,Remove login flow,Feature,Must,Developer,6.8,8,10,3,5.6,5.9,0,2,1,18,0.19,1,0.93,0,In Progress,0,0.703
117,19,40,Improve deployment script,Feature,Must,Developer,0.7,6,14,8,23.2,37.4,3,1,1,2,-0.28,1,0.78,0,Done,1,0.535
118,70,36,Remove API endpoint,Feature,Could,DevOps,2.4,10,14,2,1.0,1.4,0,2,0,16,-1.0,0,0.27,0,Done,1,0.58
119,123,37,Remove caching layer,Feature,Must,QA,0.2,7,21,1,2.0,2.9,0,0,3,19,0.37,0,0.2,0,Done,1,0.686
120,58,5,Improve documentation,Documentation,Must,Developer,1.8,7,21,1,3.0,2.3,0,1,1,21,-0.68,1,0.52,1,Done,1,0.735
121,220,14,Update permission check,Documentation,Could,PM,7.2,10,10,8,26.2,20.3,2,0,1,3,-0.55,1,0.83,0,Done,1,0.816
122,335,12,Investigate test suite,Spike,Must,Developer,5.1,4,10,3,12.5,17.1,0,0,2,17,-0.76,0,0.39,0,Done,1,0.72
123,328,21,Remove API endpoint,Documentation,Must,DevOps,6.9,11,14,8,20.0,21.2,1,1,2,25,-1.0,1,0.9,0,Done,1,0.708
124,236,40,Update database query,Chore,Must,Developer,6.0,12,7,5,15.3,13.5,1,0,0,11,-0.05,0,0.22,0,Done,1,0.819
125,428,28,Implement documentation,Spike,Could,Developer,6.0,3,14,3,11.2,21.2,1,1,2,26,-0.59,0,0.34,0,To Do,0,0.511
126,283,22,Improve login flow,Feature,Could,Developer,4.2,5,10,2,6.9,10.5,2,2,0,21,-0.53,0,0.43,0,Blocked,0,0.518
127,40,33,Add test suite,Feature,Could,Developer,5.6,8,14,2,7.3,8.0,0,2,0,9,-0.08,0,0.62,0,Blocked,0,0.696
128,383,8,Investigate API endpoint,Spike,Must,Developer,3.8,3,14,2,4.8,6.3,2,1,0,9,0.35,0,0.1,0,Done,1,0.657
129,288,27,Create error handling,Bug,Must,Designer,5.4,6,14,2,5.0,6.6,3,0,3,12,-0.58,1,0.81,1,To Do,0,0.605
130,318,21,Fix deployment script,Refactor,Could,Developer,2.8,8,14,1,1.1,1.6,2,1,0,21,0.42,0,0.32,0,Done,1,0.633
131,283,9,Improve error handling,Bug,Could,Developer,4.4,4,14,2,7.0,7.3,0,0,2,17,-0.02,0,0.1,0,Done,1,0.779
132,277,26,Remove test suite,Feature,Must,Developer,1.0,11,14,3,12.1,18.1,1,0,1,6,-0.3,0,0.0,0,Done,1,0.669
133,46,34,Create UI component,Feature,Should,Developer,3.5,5,10,5,16.3,12.6,1,0,0,27,1.0,1,0.64,0,Done,1,0.849
134,280,34,Update database query,Chore,Must,Developer,3.3,6,10,1,1.0,1.0,0,1,2,12,0.31,1,0.78,0,Done,1,0.742
135,398,34,Refactor error handling,Bug,Must,PM,4.7,7,14,3,6.7,5.6,0,0,1,27,-0.01,0,0.16,1,Done,1,0.791
136,152,33,Implement documentation,Feature,Should,Developer,3.3,3,14,2,3.0,3.4,2,1,0,22,-0.59,1,0.72,1,In Progress,0,0.645
137,302,19,Remove error handling,Refactor,Could,QA,2.2,6,7,5,12.0,12.2,0,1,0,26,0.24,1,0.64,0,Done,1,0.761
138,16,2,Implement database query,Bug,Could,Developer,4.1,5,14,5,15.3,9.2,0,0,0,27,0.66,1,0.78,1,Done,1,0.859
139,174,39,Fix UI component,Bug,Must,Developer,5.8,11,14,5,12.1,12.0,1,0,2,10,-0.4,0,0.02,1,Done,1,0.721
140,219,19,Investigate deployment script,Refactor,Must,Developer,2.8,7,14,3,7.2,10.9,3,1,0,38,0.4,0,0.02,0,In Progress,0,0.559
141,492,26,Refactor login flow,Bug,Must,Developer,2.7,9,10,2,8.2,9.7,0,2,0,19,0.1,1,0.69,1,Blocked,0,0.615
142,108,1,Optimize error handling,Documentation,Must,Designer,2.6,10,21,8,23.1,19.8,2,2,0,24,-0.18,1,0.73,0,In Progress,0,0.685
143,139,36,Update API endpoint,Bug,Must,Designer,2.8,3,7,2,5.3,4.9,0,2,0,12,0.45,1,0.43,0,Done,1,0.71
144,205,36,Investigate login flow,Documentation,Must,Developer,1.3,8,10,3,8.7,7.0,1,1,0,25,-0.51,0,0.07,0,Done,1,0.741
145,497,38,Remove database query,Chore,Could,Developer,3.8,12,21,5,16.0,14.0,0,0,0,0,0.84,0,0.35,0,Done,1,0.854
146,427,7,Create UI component,Spike,Could,Developer,6.6,10,7,5,14.0,29.4,1,1,4,26,-0.52,0,0.18,1,In Progress,0,0.353
147,18,34,Add caching layer,Chore,Could,Designer,4.1,9,14,3,3.8,4.0,1,1,0,8,0.61,1,0.73,0,Done,1,0.76
148,117,25,Investigate test suite,Refactor,Could,QA,5.6,7,7,2,5.8,5.6,0,1,1,9,0.29,1,0.6,0,Done,1,0.768
149,411,6,Fix deployment script,Bug,Could,Developer,3.4,6,10,13,37.4,56.3,3,2,1,13,1.0,0,0.18,0,Done,1,0.489
150,30,23,Update login flow,Bug,Could,Developer,1.9,5,21,3,13.4,15.5,2,2,0,34,-0.06,1,0.64,1,In Progress,0,0.553
151,428,20,Update API endpoint,Feature,Should,Developer,2.5,6,10,5,11.7,13.6,0,2,1,0,0.64,1,0.74,0,Done,1,0.661
152,141,26,Optimize caching layer,Feature,Must,Developer,0.1,6,7,3,10.4,11.8,0,0,0,11,-0.83,0,0.26,0,Done,1,0.765
153,459,4,Remove documentation,Feature,Must,Developer,3.3,4,14,2,5.3,4.8,0,0,1,18,-0.3,1,0.63,0,Blocked,0,0.821
154,147,23,Update caching layer,Chore,Should,Developer,3.6,5,7,2,11.9,12.9,2,2,0,14,0.24,1,0.61,0,To Do,0,0.633
155,218,28,Investigate API endpoint,Feature,Should,Developer,5.1,4,14,2,7.4,11.6,1,1,1,21,0.5,0,0.35,0,Done,1,0.63
156,331,29,Remove database query,Bug,Must,Developer,5.4,12,14,1,7.1,5.3,0,1,0,17,0.3,1,0.85,1,Done,1,0.794
157,64,31,Investigate documentation,Feature,Should,DevOps,2.4,8,10,5,8.3,9.4,0,2,1,15,0.88,1,0.46,0,Blocked,0,0.66
158,279,26,Refactor caching layer,Feature,Could,Developer,3.6,12,7,8,23.6,22.2,1,0,0,10,0.09,0,0.42,0,Done,1,0.809
159,253,29,Refactor API endpoint,Bug,Must,DevOps,4.7,7,7,5,13.2,14.2,2,1,1,19,0.0,1,0.49,1,Done,1,0.637
160,392,4,Update login flow,Spike,Must,Developer,5.5,9,10,5,16.9,24.6,1,2,0,20,0.92,1,0.63,0,Done,1,0.614
161,499,32,Add error handling,Feature,Won't,Developer,4.6,6,21,3,9.9,13.2,1,2,1,6,-0.6,1,0.88,0,In Progress,0,0.599
162,333,15,Create deployment script,Spike,Must,Developer,1.7,12,14,2,7.5,13.1,3,0,1,16,-0.18,1,0.36,0,In Progress,0,0.582
163,205,22,Fix permission check,Feature,Must,Designer,0.7,6,14,2,6.0,7.3,1,0,0,17,0.17,1,0.58,0,Done,1,0.768
164,204,22,Investigate API endpoint,Bug,Should,QA,3.6,12,7,5,17.4,17.4,2,0,0,0,0.66,0,0.19,0,Done,1,0.784
165,209,40,Optimize login flow,Feature,Won't,QA,2.3,11,21,1,3.1,3.2,1,1,0,13,0.34,0,0.0,0,Done,1,0.731
166,408,14,Refactor UI component,Feature,Must,Designer,2.2,11,14,1,1.5,1.7,0,1,1,25,-0.85,0,0.36,0,In Progress,0,0.698
167,161,16,Fix database query,Feature,Must,Developer,2.9,9,10,8,24.2,31.2,1,1,0,18,0.3,0,0.13,0,In Progress,0,0.679
168,84,31,Optimize error handling,Feature,Should,QA,4.0,8,7,8,27.0,15.3,0,0,0,21,0.43,1,0.61,0,Done,1,0.879
169,168,26,Implement permission check,Refactor,Should,Designer,1.0,10,14,5,16.3,11.3,0,0,0,16,0.72,1,0.62,0,Done,1,0.865
170,12,13,Remove test suite,Refactor,Could,PM,3.8,4,14,2,6.9,2.3,0,0,0,20,0.5,0,0.34,1,Done,1,0.876
171,54,14,Create documentation,Feature,Won't,Developer,6.0,10,14,3,10.4,9.0,3,0,0,31,0.41,1,0.8,0,Done,1,0.807
172,46,34,Investigate error handling,Spike,Could,QA,4.7,4,10,1,3.6,8.0,1,3,0,14,-1.0,1,0.86,0,Blocked,0,0.322
173,386,34,Fix test suite,Refactor,Must,Developer,4.5,7,10,5,13.9,13.8,0,1,0,32,0.1,1,0.65,1,To Do,0,0.728
174,362,6,Optimize database query,Feature,Could,Developer,2.6,6,21,3,9.3,10.4,0,0,1,11,-0.96,0,0.28,1,Done,1,0.731
175,349,16,Implement caching layer,Bug,Should,Developer,4.2,8,14,8,18.4,15.3,1,0,1,22,0.04,0,0.0,0,Done,1,0.804
176,231,31,Implement test suite,Feature,Should,Developer,4.8,9,14,5,8.9,13.8,1,1,2,0,-0.38,1,0.73,1,Done,1,0.55
177,359,5,Update login flow,Chore,Should,Designer,7.7,12,14,2,7.8,6.2,1,2,0,16,-0.22,1,0.9,1,Done,1,0.701
178,81,8,Add deployment script,Bug,Should,Designer,2.3,12,14,1,1.0,1.3,2,2,0,25,0.29,1,0.77,0,Done,1,0.596
179,451,7,Improve database query,Feature,Should,PM,4.1,9,10,3,6.0,8.7,2,0,0,17,-0.04,0,0.38,0,Done,1,0.706
180,251,22,Remove UI component,Feature,Should,Developer,5.2,10,7,5,15.5,27.4,2,2,1,24,-0.35,0,0.57,0,In Progress,0,0.451
181,470,19,Remove documentation,Feature,Must,Developer,0.2,7,21,3,8.6,8.8,0,0,0,27,-1.0,0,0.55,0,Done,1,0.799
182,77,13,Remove documentation,Bug,Should,QA,6.3,8,14,13,39.5,28.6,0,1,0,14,0.86,1,0.83,1,Done,1,0.809
183,249,6,Improve documentation,Bug,Must,Developer,0.0,7,10,5,12.4,13.4,0,1,0,13,0.46,1,0.5,0,In Progress,0,0.744
184,349,26,Remove deployment script,Documentation,Must,QA,1.3,6,7,8,25.0,24.3,2,1,2,20,0.52,0,0.0,0,To Do,0,0.658
185,248,33,Remove UI component,Feature,Should,Developer,3.1,10,14,8,22.7,27.9,0,1,1,9,-1.0,1,0.64,0,To Do,0,0.692
186,224,9,Improve caching layer,Feature,Won't,Developer,2.5,9,14,3,12.0,13.5,0,1,2,27,-0.36,1,0.51,0,Done,1,0.694
187,84,27,Fix documentation,Feature,Must,Developer,8.0,3,14,8,22.7,36.7,2,1,1,32,0.14,1,0.77,0,In Progress,0,0.608
188,191,32,Remove error handling,Feature,Could,Developer,0.0,6,14,3,10.1,11.9,2,0,2,11,0.11,1,0.99,0,Done,1,0.723
189,120,23,Implement permission check,Refactor,Must,Developer,7.2,10,10,8,22.0,19.7,1,0,0,4,0.15,1,1.0,0,Done,1,0.846
